days,C1-Cu,C3-Cu,C4-Cu,C6-Cu,C8-Cu,C9-Cu,C10-Cu,C11-Cu,C12-Cu,C13-Cu,C1-Ni,C3-Ni,C4-Ni,C6-Ni,C8-Ni,C9-Ni,C10-Ni,C11-Ni,C12-Ni,C13-Ni
58,0.072916673,0.170515906,0.087813003,0.074883558,0.146840516,0.275017684,0.336446168,0.260602558,0.180995202,0.340935968,0.075343775,0.273886814,0.235585835,0.110852312,0.319940808,0.371007682,0.424921356,0.348619236,0.274945351,0.454302895
59,0.073287297,0.172005766,0.08840843,0.07601721,0.147763351,0.276527123,0.338337778,0.263737036,0.183321417,0.345007423,0.076409684,0.277468125,0.238506192,0.112595704,0.322480357,0.372971061,0.427646242,0.350809472,0.278524679,0.456530257
60,0.073992628,0.173434642,0.088964662,0.076597564,0.148733473,0.277979908,0.340082707,0.266663954,0.185061764,0.34892373,0.077690165,0.281057449,0.24124061,0.114224099,0.325102497,0.374875516,0.43023585,0.352898775,0.281375063,0.458458756
61,0.074977337,0.174865898,0.089514929,0.077157717,0.149652224,0.280258904,0.342192251,0.273593756,0.187577509,0.356744745,0.07919596,0.284451614,0.244001754,0.115830773,0.327594746,0.377659051,0.433312653,0.355700591,0.284404471,0.461384542
62,0.075856996,0.176310089,0.090064634,0.077692357,0.150590088,0.282317989,0.344212657,0.281674211,0.191991681,0.364719049,0.080572436,0.288374123,0.246792871,0.117391201,0.330129274,0.379883044,0.435943078,0.358555399,0.287539738,0.463764506
63,0.076623306,0.177707215,0.09054518,0.078138643,0.151431404,0.283791114,0.345856225,0.289223209,0.194677995,0.373347371,0.081772727,0.292175099,0.249181256,0.118711197,0.332415679,0.381731942,0.438211741,0.361012132,0.290526333,0.466541407
64,0.077518488,0.179359506,0.091042585,0.07865695,0.152330591,0.285603875,0.3475635,0.296629576,0.198311288,0.379453258,0.083198921,0.296330893,0.251643676,0.120255031,0.334989662,0.383977036,0.440401937,0.363188062,0.293023757,0.468734723
65,0.078311606,0.180612066,0.091573539,0.079165895,0.153432586,0.286470891,0.349325667,0.30388243,0.211449983,0.382732571,0.084413417,0.299731133,0.25421836,0.121782296,0.338155313,0.384974646,0.442910541,0.36538524,0.296380579,0.469750781
66,0.079225703,0.182661652,0.092127717,0.07964144,0.154341105,0.287913926,0.350904137,0.308136427,0.213230408,0.387758558,0.085791944,0.305192034,0.256657859,0.123255389,0.340557645,0.386701214,0.444986991,0.36710053,0.298595042,0.471596997
67,0.080065868,0.184497358,0.092850244,0.080199168,0.155221107,0.28972024,0.352747565,0.313099468,0.216215797,0.395526155,0.087344779,0.309778669,0.259581546,0.12494051,0.342878958,0.388899231,0.447425046,0.369122123,0.300954134,0.473931787
68,0.080859933,0.185677912,0.093682566,0.080735989,0.156170357,0.291295568,0.354504991,0.321258779,0.218418482,0.403727262,0.08934718,0.313152289,0.262833999,0.126646574,0.345598636,0.390596699,0.449601506,0.371095012,0.3031799,0.47608512
69,0.08131935,0.18658083,0.094466935,0.081244466,0.156896738,0.293353307,0.356517418,0.329175977,0.220806934,0.411451284,0.090760354,0.315596157,0.265953591,0.128382035,0.347661058,0.392262721,0.451889825,0.372964024,0.305348461,0.477709849
70,0.081914528,0.187236794,0.095287823,0.081740727,0.157733428,0.294976686,0.358058367,0.334033761,0.223270487,0.420123829,0.09285375,0.31754568,0.269242973,0.130168934,0.350010559,0.393693625,0.453775356,0.374949645,0.3077831,0.479551043
71,0.082520705,0.188280072,0.096064349,0.082209836,0.15855837,0.296012136,0.359775336,0.338802781,0.224428852,0.426650425,0.095267767,0.320612286,0.272433836,0.131887369,0.352290352,0.394872557,0.455967036,0.377158018,0.309991354,0.48120408
72,0.083347632,0.188978021,0.097037458,0.082760889,0.159501598,0.297142526,0.36127367,0.343119541,0.225556631,0.431450157,0.098497147,0.322634056,0.276530394,0.133905386,0.354858735,0.396152478,0.457942253,0.379257981,0.312199003,0.482577623
73,0.084126807,0.189840001,0.097835333,0.083301813,0.160355268,0.298329266,0.362661355,0.3469315,0.227226589,0.435761962,0.10144278,0.325091407,0.280005661,0.135880975,0.357107217,0.397486581,0.459770268,0.380902246,0.314642959,0.48395362
74,0.084894358,0.190923919,0.098613444,0.083792973,0.161081105,0.299421316,0.364222911,0.350049612,0.227582597,0.439595049,0.104544014,0.328145162,0.283536216,0.138522895,0.359012021,0.398875484,0.461556646,0.382442468,0.317141712,0.485342761
75,0.085702434,0.19200759,0.099449711,0.084408817,0.162167293,0.3003408,0.365444999,0.354078352,0.229313473,0.442800024,0.107831115,0.331057209,0.287317176,0.14079642,0.361748746,0.400062483,0.463220058,0.384318896,0.318996769,0.486588586
76,0.08653541,0.192892104,0.100210903,0.08489046,0.16305218,0.301395353,0.366619234,0.359904969,0.232708499,0.446257914,0.111143432,0.333355297,0.290761309,0.142622179,0.36390495,0.40111147,0.464641095,0.386077694,0.321240533,0.487829042
77,0.087524501,0.19561737,0.100946521,0.085403016,0.164050578,0.302896957,0.367805769,0.377771048,0.233786803,0.463235445,0.114793073,0.34001787,0.294103059,0.144603789,0.366274002,0.402768155,0.466210692,0.388131145,0.323370137,0.489298085
78,0.088474962,0.196801086,0.101289715,0.085674857,0.164966281,0.304194153,0.369216452,0.395373352,0.237007294,0.481135985,0.118218293,0.34296507,0.295839465,0.145665115,0.36842246,0.404201969,0.468007304,0.390211018,0.325800099,0.490890306
79,0.089467527,0.197102732,0.101477758,0.086156221,0.165907374,0.305186857,0.370069012,0.409622936,0.240216603,0.494044289,0.121622797,0.343707802,0.296797304,0.147479639,0.370619746,0.405570369,0.468842391,0.391828611,0.327981433,0.492037178
80,0.09041551,0.197859161,0.101597285,0.086618166,0.166721939,0.306408187,0.37158787,0.426735823,0.243211099,0.511871769,0.124706892,0.34548065,0.297416885,0.149207544,0.372539349,0.40720338,0.470596457,0.393733428,0.330541721,0.493522259
81,0.091657982,0.198155466,0.101735488,0.087161008,0.167629154,0.307951283,0.37373004,0.450396974,0.247097442,0.536615767,0.128510334,0.346150387,0.298136037,0.151192589,0.374745269,0.409336846,0.473342169,0.396028914,0.333409676,0.495438094
82,0.092739619,0.199019813,0.101775175,0.087515381,0.168430896,,,,,,0.131960579,0.34801969,0.298313887,0.152484394,0.376618802,,,,,
83,0.09373804,0.200196463,0.101917828,0.087970381,0.169395618,,,,,,0.135033475,0.350232722,0.29884907,0.154161963,0.379026676,,,,,
84,0.094530921,0.201243956,0.102227517,0.088320618,0.169872876,,,,,,0.13719206,0.352140236,0.299778368,0.155400262,0.380156983,,,,,
85,0.095768412,0.202062065,0.103509825,0.088779876,0.170547412,,,,,,0.140351413,0.353645243,0.30313663,0.157002305,0.381729362,,,,,
86,0.097612314,0.203733451,0.105176591,0.089289651,0.171744617,,,,,,0.145075643,0.356731802,0.307490443,0.158747038,0.384614439,,,,,
87,0.098918354,0.205046364,0.106624961,0.089661035,0.17247658,,,,,,0.148817185,0.359201182,0.311063567,0.160016195,0.386195852,,,,,
88,0.100133017,0.205675288,0.108134066,0.090062087,0.173297698,,,,,,0.152166106,0.36039083,0.31463782,0.161495465,0.387915053,,,,,
89,0.101157942,0.205965734,0.109661724,0.090346951,0.173851328,,,,,,0.155192579,0.360990394,0.318058258,0.162657398,0.389074376,,,,,
90,0.102311671,0.206406611,0.111267571,0.090771489,0.174743583,,,,,,0.158348857,0.361898625,0.321435146,0.16469216,0.391093511,,,,,
91,0.103687837,0.207555862,0.112816921,0.091288325,0.175531383,,,,,,0.161809713,0.364446676,0.324501166,0.166883296,0.393021566,,,,,
92,0.105480033,0.20883331,0.114736863,0.091764035,0.17638561,,,,,,0.166111824,0.367181378,0.328422167,0.169435446,0.39526916,,,,,
93,0.10672926,0.209649066,0.116394002,0.091923788,0.17715921,,,,,,0.169703061,0.368962369,0.331460795,0.170332178,0.397367211,,,,,
94,0.107927281,0.210552094,0.11791291,0.092246047,0.177660767,,,,,,0.173056382,0.370921419,0.33404926,0.17215599,0.398855375,,,,,
95,0.109394547,0.211611517,0.119384824,0.092587449,0.178259969,,,,,,0.176742215,0.373031982,0.3366134,0.174073844,0.400602606,,,,,
96,0.110424596,0.212462443,0.120555739,0.092899089,0.178781495,,,,,,0.179372042,0.374851908,0.33863807,0.175828451,0.402092785,,,,,
97,0.111542223,0.213314787,0.121652064,0.093229884,0.179324193,,,,,,0.182272217,0.376633761,0.340473351,0.177611368,0.403583969,,,,,
98,0.112732465,0.214266072,0.122765514,0.093529725,0.179884525,,,,,,0.185741005,0.378615777,0.34237289,0.179362268,0.405062509,,,,,
99,0.113916724,0.215207499,0.123964092,0.093846108,0.180572174,,,,,,0.189331856,0.380566861,0.34433043,0.181203327,0.406437693,,,,,
100,0.115161279,0.216140457,0.125359706,0.094142631,0.181079232,,,,,,0.193214395,0.382464988,0.346325577,0.182947318,0.40734049,,,,,
101,0.116450451,0.21705341,0.126863037,0.09444229,0.18166418,,,,,,0.196934182,0.384294708,0.348117714,0.184716308,0.408458464,,,,,
102,0.117773432,0.218092198,0.128296687,0.09474964,0.182188615,,,,,,0.200892908,0.386322931,0.349739829,0.186602355,0.409601006,,,,,
103,0.119196137,0.219534061,0.129696647,0.095041704,0.182642963,,,,,,0.204735467,0.389441512,0.351494088,0.188478158,0.410807564,,,,,
104,0.120277747,0.220390731,0.131310259,0.095321367,0.183135118,,,,,,0.207404212,0.391106379,0.353541157,0.190249417,0.412220756,,,,,
105,0.121536178,0.221549431,0.132622652,0.095651189,0.183583906,,,,,,0.210311579,0.393277879,0.355184864,0.19213965,0.413512821,,,,,
106,0.122451649,0.221886349,0.133419821,0.095710786,0.183734734,,,,,,0.212216998,0.393912406,0.356189443,0.192485585,0.413936958,,,,,
107,0.123457775,0.222093277,0.13417871,0.095809253,0.183869406,,,,,,0.214819223,0.394308593,0.357117534,0.193070063,0.414323733,,,,,
108,0.124411829,0.222852719,0.135497827,0.09627569,0.184543866,,,,,,0.217072307,0.395762449,0.358887987,0.196251191,0.41650501,,,,,
109,0.125858893,0.224085201,0.137160294,0.096692058,0.18508833,,,,,,0.22028831,0.398086591,0.361131881,0.199340329,0.418063471,,,,,
110,0.127186819,0.22530113,0.138852738,0.097079159,0.185677703,,,,,,0.22346788,0.400468862,0.363307921,0.201932719,0.419931252,,,,,
111,0.128570341,0.226429558,0.140559177,0.097414848,0.186207691,,,,,,0.226408323,0.402621034,0.36548677,0.203994046,0.421644162,,,,,
112,0.129878709,0.227524997,0.14215907,0.097695896,0.186676011,,,,,,0.229265784,0.404649338,0.367525281,0.205910382,0.42319627,,,,,
113,0.131177113,0.22842886,0.14345356,0.097982393,0.1870927,,,,,,0.232191705,0.406434619,0.369596009,0.208054458,0.424563848,,,,,
114,0.1326204,0.229339096,0.145412857,0.098239585,0.187506591,,,,,,0.23502085,0.408194692,0.372145808,0.210096669,0.425973073,,,,,
115,0.1339773,0.230248664,0.147198676,0.098492048,0.187862314,,,,,,0.237826209,0.409903104,0.374477878,0.211963935,0.427218733,,,,,
116,0.135250958,0.231309681,0.148664356,0.098747788,0.188224225,,,,,,0.240276362,0.411839537,0.376384637,0.213757236,0.428472977,,,,,
117,0.136433098,0.232190828,0.150373822,0.098980564,0.188545861,,,,,,0.242590138,0.413424052,0.378632832,0.215352841,0.429559087,,,,,
118,0.137678973,0.233101996,0.152063471,0.099227392,0.188857606,,,,,,0.244958307,0.415046763,0.380942087,0.217023187,0.430626264,,,,,
119,0.139016552,0.233811325,0.153818688,0.099478155,0.18919618,,,,,,0.247443832,0.416276696,0.383312694,0.218770112,0.43171585,,,,,
